Recon ID,Transaction ID,Recon Date,Status,Issue Type,Amount Difference (INR),FX Rate Variance (%),Days to Resolve,Resolution Date
RECON000035,HDFC2026617125,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000036,HDFC2026551494,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000037,HDFC2026869423,2024-01-02,Unmatched,Amount Mismatch,-767.0,-0.14675746367896278,2,2024-01-04
RECON000038,HDFC2026777844,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000039,HDFC2026135107,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000040,HDFC2026388140,2024-01-02,Duplicate,Duplicate Transaction,0.0,0.0,13,2024-01-15
RECON000041,HDFC2026330548,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000042,HDFC2026311253,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000043,HDFC2026260175,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000044,HDFC2026840536,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000045,HDFC2026153852,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000046,HDFC2026564768,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000047,HDFC2026563421,2024-01-02,Duplicate,Duplicate Transaction,0.0,0.0,2,2024-01-04
RECON000048,HDFC2026918425,2024-01-02,Duplicate,Duplicate Transaction,0.0,0.0,8,2024-01-10
RECON000049,HDFC2026702059,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000050,HDFC2026247706,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000051,HDFC2026108620,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000052,HDFC2026566973,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000053,HDFC2026693782,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000054,HDFC2026536153,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000055,HDFC2026666558,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000056,HDFC2026293924,2024-01-02,Unmatched,Missing Settlement,117123.0,100.0,14,2024-01-16
RECON000057,HDFC2026679024,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000058,HDFC2026205364,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000059,HDFC2026761153,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000060,HDFC2026664183,2024-01-03,Duplicate,Duplicate Transaction,0.0,0.0,12,2024-01-15
RECON000061,HDFC2026431603,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000062,HDFC2026391121,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000063,HDFC2026231772,2024-01-03,Unmatched,FX Rate Discrepancy,0.0,-0.16,15,2024-01-18
RECON000064,HDFC2026348068,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000065,HDFC2026507723,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000066,HDFC2026361140,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000067,HDFC2026556879,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000068,HDFC2026565779,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000069,HDFC2026119110,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000070,HDFC2026114689,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000071,HDFC2026410489,2024-01-03,Unmatched,FX Rate Discrepancy,0.0,-0.3,15,2024-01-18
RECON000072,HDFC2026711893,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000073,HDFC2026454495,2024-01-03,Unmatched,Amount Mismatch,3710.0,0.913745840732376,4,2024-01-07
RECON000074,HDFC2026318464,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000075,HDFC2026598688,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000076,HDFC2026645052,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000077,HDFC2026367457,2024-01-03,Duplicate,Duplicate Transaction,0.0,0.0,14,2024-01-17
RECON000078,HDFC2026127734,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000079,HDFC2026703418,2024-01-03,Matched,None,0.0,0.0,0,2024-01-03 00:00:00
RECON000080,HDFC2026120678,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000081,HDFC2026335097,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000082,HDFC2026372323,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000083,HDFC2026922918,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000084,HDFC2026259652,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000085,HDFC2026163740,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000086,HDFC2026510518,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000087,HDFC2026798596,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000088,HDFC2026604366,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000089,HDFC2026549528,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000090,HDFC2026238840,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000091,HDFC2026733941,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000092,HDFC2026740706,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000093,HDFC2026439904,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000094,HDFC2026169785,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000095,HDFC2026597626,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000096,HDFC2026645362,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000097,HDFC2026210523,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000098,HDFC2026270595,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000099,HDFC2026396309,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000100,HDFC2026943570,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000101,HDFC2026108845,2024-01-04,Unmatched,Missing Settlement,87397.0,100.0,7,2024-01-11
RECON000102,HDFC2026152516,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000103,HDFC2026266553,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000104,HDFC2026980029,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000105,HDFC2026868152,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000106,HDFC2026257880,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000107,HDFC2026257692,2024-01-04,Matched,None,0.0,0.0,0,2024-01-04 00:00:00
RECON000108,HDFC2026535354,2024-01-05,Duplicate,Duplicate Transaction,0.0,0.0,8,2024-01-13
RECON000109,HDFC2026460489,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000110,HDFC2026338025,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000111,HDFC2026587505,2024-01-05,Unmatched,FX Rate Discrepancy,0.0,-0.27,6,2024-01-11
RECON000112,HDFC2026385423,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000113,HDFC2026306645,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000114,HDFC2026853924,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000115,HDFC2026603675,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000116,HDFC2026482372,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000117,HDFC2026756175,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000118,HDFC2026208644,2024-01-05,Unmatched,Amount Mismatch,519.0,0.3868371035665039,14,2024-01-19
RECON000119,HDFC2026355577,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000120,HDFC2026434136,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000121,HDFC2026139286,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000122,HDFC2026648316,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000123,HDFC2026293643,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000124,HDFC2026857135,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000125,HDFC2026388093,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000126,HDFC2026661091,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000127,HDFC2026670612,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000128,HDFC2026357579,2024-01-05,Unmatched,Amount Mismatch,4721.0,0.8778943923356715,2,2024-01-07
RECON000129,HDFC2026864607,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000130,HDFC2026977327,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000131,HDFC2026499707,2024-01-05,Duplicate,Duplicate Transaction,0.0,0.0,9,2024-01-14
RECON000132,HDFC2026812195,2024-01-05,Unmatched,FX Rate Discrepancy,0.0,-0.33,15,2024-01-20
RECON000133,HDFC2026914231,2024-01-05,Duplicate,Duplicate Transaction,0.0,0.0,11,2024-01-16
RECON000134,HDFC2026109738,2024-01-05,Duplicate,Duplicate Transaction,0.0,0.0,12,2024-01-17
RECON000135,HDFC2026709545,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000136,HDFC2026156949,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000137,HDFC2026731791,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000138,HDFC2026427208,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000139,HDFC2026930892,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000140,HDFC2026617392,2024-01-05,Unmatched,Missing Settlement,659304.0,100.0,9,2024-01-14
RECON000141,HDFC2026662761,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000142,HDFC2026549009,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000143,HDFC2026805483,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000144,HDFC2026923280,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000145,HDFC2026596908,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000146,HDFC2026518807,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000147,HDFC2026626086,2024-01-05,Matched,None,0.0,0.0,0,2024-01-05 00:00:00
RECON000148,HDFC2026823012,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000149,HDFC2026452622,2024-01-06,Unmatched,FX Rate Discrepancy,0.0,1.21,15,2024-01-21
RECON000150,HDFC2026298251,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000151,HDFC2026326299,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000152,HDFC2026996716,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000153,HDFC2026756361,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000154,HDFC2026456228,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000155,HDFC2026761301,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000156,HDFC2026112758,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000157,HDFC2026480441,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000158,HDFC2026451248,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000159,HDFC2026384739,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000160,HDFC2026289845,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000161,HDFC2026441433,2024-01-06,Unmatched,Amount Mismatch,4561.0,6.733196533754558,7,2024-01-13
RECON000162,HDFC2026121701,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000163,HDFC2026861876,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000164,HDFC2026655514,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000165,HDFC2026834680,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000166,HDFC2026833368,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000167,HDFC2026995521,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000168,HDFC2026811293,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000169,HDFC2026682789,2024-01-06,Unmatched,Amount Mismatch,-22.0,-0.007394585146967379,15,2024-01-21
RECON000170,HDFC2026353254,2024-01-06,Unmatched,FX Rate Discrepancy,0.0,0.64,15,2024-01-21
RECON000171,HDFC2026888360,2024-01-06,Matched,None,0.0,0.0,0,2024-01-06 00:00:00
RECON000172,HDFC2026726255,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000173,HDFC2026242613,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000174,HDFC2026215560,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000175,HDFC2026642877,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000176,HDFC2026405125,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000177,HDFC2026311459,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000178,HDFC2026252438,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000179,HDFC2026920087,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000180,HDFC2026418832,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000181,HDFC2026365359,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000182,HDFC2026981614,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000183,HDFC2026814029,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000184,HDFC2026537933,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000185,HDFC2026858232,2024-01-07,Duplicate,Duplicate Transaction,0.0,0.0,13,2024-01-20
RECON000186,HDFC2026185887,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000187,HDFC2026966713,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000188,HDFC2026470977,2024-01-07,Duplicate,Duplicate Transaction,0.0,0.0,5,2024-01-12
RECON000189,HDFC2026576314,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000190,HDFC2026248723,2024-01-07,Matched,None,0.0,0.0,0,2024-01-07 00:00:00
RECON000191,HDFC2026923039,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000192,HDFC2026283061,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000193,HDFC2026718570,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000194,HDFC2026505695,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000195,HDFC2026479170,2024-01-08,Duplicate,Duplicate Transaction,0.0,0.0,6,2024-01-14
RECON000196,HDFC2026673602,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000197,HDFC2026135574,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000198,HDFC2026815714,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000199,HDFC2026884489,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000200,HDFC2026498606,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000201,HDFC2026773436,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000202,HDFC2026728874,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000203,HDFC2026739165,2024-01-08,Duplicate,Duplicate Transaction,0.0,0.0,7,2024-01-15
RECON000204,HDFC2026238278,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000205,HDFC2026139298,2024-01-08,Unmatched,Amount Mismatch,1332.0,0.4342496479056909,3,2024-01-11
RECON000206,HDFC2026946270,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000207,HDFC2026610497,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000208,HDFC2026525167,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000209,HDFC2026780227,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000210,HDFC2026455735,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000211,HDFC2026304222,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000212,HDFC2026630306,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000213,HDFC2026634185,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000214,HDFC2026403680,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000215,HDFC2026916610,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000216,HDFC2026560295,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000217,HDFC2026577367,2024-01-08,Matched,None,0.0,0.0,0,2024-01-08 00:00:00
RECON000218,HDFC2026425752,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000219,HDFC2026227779,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000220,HDFC2026313490,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000221,HDFC2026726167,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000222,HDFC2026840445,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000223,HDFC2026868957,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000224,HDFC2026469773,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000225,HDFC2026179836,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000226,HDFC2026338573,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000227,HDFC2026112426,2024-01-09,Unmatched,FX Rate Discrepancy,0.0,0.4,15,2024-01-24
RECON000228,HDFC2026966711,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000229,HDFC2026116858,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000230,HDFC2026864259,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000231,HDFC2026431773,2024-01-09,Duplicate,Duplicate Transaction,0.0,0.0,6,2024-01-15
RECON000232,HDFC2026345221,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000233,HDFC2026525688,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000234,HDFC2026208120,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000235,HDFC2026975125,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000236,HDFC2026561622,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000237,HDFC2026886758,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000238,HDFC2026791025,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000239,HDFC2026112134,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000240,HDFC2026809868,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000241,HDFC2026537319,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000242,HDFC2026489014,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000243,HDFC2026488712,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000244,HDFC2026958706,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000245,HDFC2026673623,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000246,HDFC2026823607,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000247,HDFC2026369950,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000248,HDFC2026473950,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000249,HDFC2026952661,2024-01-09,Duplicate,Duplicate Transaction,0.0,0.0,8,2024-01-17
RECON000250,HDFC2026511876,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000251,HDFC2026597960,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000252,HDFC2026778545,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000253,HDFC2026223950,2024-01-09,Duplicate,Duplicate Transaction,0.0,0.0,1,2024-01-10
RECON000254,HDFC2026124647,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000255,HDFC2026311807,2024-01-09,Duplicate,Duplicate Transaction,0.0,0.0,7,2024-01-16
RECON000256,HDFC2026500984,2024-01-09,Matched,None,0.0,0.0,0,2024-01-09 00:00:00
RECON000257,HDFC2026727857,2024-01-10,Unmatched,Amount Mismatch,2124.0,0.731188422161481,11,2024-01-21
RECON000258,HDFC2026253197,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000259,HDFC2026557409,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000260,HDFC2026778661,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000261,HDFC2026247561,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000262,HDFC2026968734,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000263,HDFC2026333704,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000264,HDFC2026947278,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000265,HDFC2026604793,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000266,HDFC2026240983,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
RECON000267,HDFC2026608354,2024-01-10,Matched,None,0.0,0.0,0,2024-01-10 00:00:00
