Transaction ID,Date,Time,Customer ID,Direction,Corridor,From Currency,To Currency,INR Amount,Foreign Amount,FX Rate,Value Date,Status,Processing Time (Hours),Exception Flag,Exception Reason,Channel,SLA Breach
HDFC2026330548,2024-01-02,20:52:00,CUST227696,Inward,Singapore,SGD,INR,259458.0,4203.79,61.72,2024-01-04,Completed,59,No,None,Branch,No
HDFC2026311253,2024-01-02,16:33:00,CUST891270,Outward,UAE,INR,AED,123812.0,5380.79,23.01,2024-01-04,Completed,64,No,None,SWIFT,No
HDFC2026260175,2024-01-02,03:41:00,CUST207681,Outward,Canada,INR,CAD,145464.0,2407.95,60.41,2024-01-04,Completed,42,No,None,NEFT,No
HDFC2026840536,2024-01-02,01:00:00,CUST464731,Outward,UAE,INR,AED,84133.0,3669.12,22.93,2024-01-04,Completed,93,No,None,NEFT,No
HDFC2026153852,2024-01-02,15:11:00,CUST134272,Inward,Thailand,THB,INR,64770.0,27679.49,2.34,2024-01-04,Completed,70,No,None,NEFT,No
HDFC2026564768,2024-01-02,18:37:00,CUST623898,Inward,UAE,AED,INR,94932.0,4129.27,22.99,2024-01-03,Completed,54,No,None,SWIFT,No
HDFC2026563421,2024-01-02,10:00:00,CUST269409,Outward,Singapore,INR,SGD,96721.0,1586.89,60.95,2024-01-03,Completed,109,No,None,NEFT,No
HDFC2026918425,2024-01-02,19:13:00,CUST901871,Outward,UAE,INR,AED,303974.0,13343.9,22.78,2024-01-04,Completed,58,No,None,SWIFT,No
HDFC2026702059,2024-01-02,10:15:00,CUST800144,Outward,Singapore,INR,SGD,1466906.0,24079.22,60.92,2024-01-03,Completed,46,No,None,NEFT,No
HDFC2026247706,2024-01-02,18:17:00,CUST904972,Outward,UAE,INR,AED,96034.0,4164.53,23.06,2024-01-03,Completed,86,No,None,NEFT,No
HDFC2026108620,2024-01-02,06:33:00,CUST180590,Outward,UAE,INR,AED,61094.0,2650.5,23.05,2024-01-03,Failed,21,No,None,Branch,No
HDFC2026566973,2024-01-02,21:57:00,CUST233052,Inward,Singapore,SGD,INR,143380.0,2347.03,61.09,2024-01-04,Completed,108,No,None,NEFT,No
HDFC2026693782,2024-01-02,18:39:00,CUST179678,Outward,UK,INR,GBP,1199507.0,11323.58,105.93,2024-01-04,Completed,102,No,None,SWIFT,No
HDFC2026536153,2024-01-02,22:21:00,CUST731312,Inward,Australia,AUD,INR,404522.0,7297.89,55.43,2024-01-03,Pending,22,No,None,NEFT,No
HDFC2026666558,2024-01-02,06:28:00,CUST768938,Inward,USA,USD,INR,135206.0,1609.6,84.0,2024-01-03,Completed,118,No,None,SWIFT,No
HDFC2026293924,2024-01-02,21:42:00,CUST347677,Inward,UAE,AED,INR,117123.0,5132.47,22.82,2024-01-03,Completed,90,No,None,NEFT,No
HDFC2026679024,2024-01-02,02:44:00,CUST497761,Outward,USA,INR,USD,752230.0,8959.39,83.96,2024-01-03,Completed,102,No,None,SWIFT,No
HDFC2026205364,2024-01-02,10:47:00,CUST893997,Outward,UAE,INR,AED,275631.0,11957.96,23.05,2024-01-03,Failed,16,No,None,Branch,No
HDFC2026761153,2024-01-03,00:06:00,CUST765540,Inward,UK,GBP,INR,169616.0,1587.72,106.83,2024-01-05,Failed,10,No,None,NEFT,No
HDFC2026664183,2024-01-03,09:20:00,CUST980184,Inward,USA,USD,INR,124554.0,1505.91,82.71,2024-01-04,Completed,51,No,None,NEFT,No
HDFC2026431603,2024-01-03,12:12:00,CUST450964,Inward,UK,GBP,INR,63803.0,605.92,105.3,2024-01-04,Completed,27,No,None,Branch,No
HDFC2026391121,2024-01-03,03:58:00,CUST740026,Outward,USA,INR,USD,196204.0,2384.59,82.28,2024-01-04,Completed,98,No,None,NEFT,No
HDFC2026231772,2024-01-03,21:49:00,CUST494181,Inward,UAE,AED,INR,1982163.0,87435.51,22.67,2024-01-04,On-hold,62,No,None,SWIFT,No
HDFC2026348068,2024-01-03,20:08:00,CUST950127,Inward,UAE,AED,INR,154451.0,6762.3,22.84,2024-01-05,Completed,27,No,None,SWIFT,No
HDFC2026507723,2024-01-03,22:13:00,CUST315780,Inward,UK,GBP,INR,344976.0,3258.79,105.86,2024-01-04,Completed,32,No,None,Branch,No
HDFC2026361140,2024-01-03,12:49:00,CUST880697,Outward,USA,INR,USD,229638.0,2706.4,84.85,2024-01-04,Completed,72,No,None,Online,No
HDFC2026556879,2024-01-03,22:52:00,CUST458904,Inward,Singapore,SGD,INR,446093.0,7160.4,62.3,2024-01-05,Completed,30,No,None,SWIFT,No
HDFC2026565779,2024-01-03,17:59:00,CUST537214,Outward,USA,INR,USD,987198.0,11646.98,84.76,2024-01-04,Completed,62,No,None,SWIFT,No
HDFC2026119110,2024-01-03,14:52:00,CUST566430,Outward,UAE,INR,AED,125397.0,5459.16,22.97,2024-01-04,Pending,42,No,None,NEFT,No
HDFC2026114689,2024-01-03,15:00:00,CUST686739,Inward,Australia,AUD,INR,221128.0,3959.32,55.85,2024-01-05,Completed,95,No,None,SWIFT,No
HDFC2026410489,2024-01-03,04:51:00,CUST989223,Outward,USA,INR,USD,129532.0,1570.08,82.5,2024-01-05,Completed,76,No,None,SWIFT,No
HDFC2026711893,2024-01-03,16:49:00,CUST698514,Inward,UAE,AED,INR,642761.0,27849.26,23.08,2024-01-04,Completed,55,No,None,SWIFT,No
HDFC2026454495,2024-01-03,15:51:00,CUST315724,Inward,Singapore,SGD,INR,406021.0,6486.99,62.59,2024-01-04,Completed,31,No,None,SWIFT,No
HDFC2026318464,2024-01-03,10:21:00,CUST603871,Inward,Singapore,SGD,INR,865017.0,14118.12,61.27,2024-01-04,Completed,105,No,None,NEFT,No
HDFC2026598688,2024-01-03,06:16:00,CUST107801,Outward,Australia,INR,AUD,171079.0,3091.98,55.33,2024-01-05,Completed,35,No,None,Branch,No
HDFC2026645052,2024-01-03,03:45:00,CUST827233,Inward,USA,USD,INR,343099.0,4076.75,84.16,2024-01-04,Completed,82,No,None,SWIFT,No
HDFC2026367457,2024-01-03,02:22:00,CUST124027,Outward,USA,INR,USD,136030.0,1644.86,82.7,2024-01-04,Completed,105,No,None,SWIFT,No
HDFC2026127734,2024-01-03,18:37:00,CUST266030,Outward,USA,INR,USD,99028.0,1168.2,84.77,2024-01-04,Completed,58,No,None,NEFT,No
HDFC2026703418,2024-01-03,08:59:00,CUST677187,Outward,UAE,INR,AED,81361.0,3632.19,22.4,2024-01-05,Completed,53,No,None,Branch,No
HDFC2026120678,2024-01-04,18:34:00,CUST922587,Outward,Canada,INR,CAD,607955.0,10169.87,59.78,2024-01-05,Completed,66,No,None,NEFT,No
HDFC2026335097,2024-01-04,06:19:00,CUST758639,Outward,UAE,INR,AED,564514.0,24501.48,23.04,2024-01-05,Completed,89,No,None,NEFT,No
HDFC2026372323,2024-01-04,11:50:00,CUST126633,Outward,Singapore,INR,SGD,120609.0,1911.39,63.1,2024-01-06,Pending,39,No,None,NEFT,No
HDFC2026922918,2024-01-04,05:35:00,CUST765042,Inward,USA,USD,INR,313596.0,3688.93,85.01,2024-01-05,Completed,87,No,None,Branch,No
HDFC2026259652,2024-01-04,18:37:00,CUST487840,Outward,UAE,INR,AED,94521.0,4171.27,22.66,2024-01-06,Completed,65,No,None,SWIFT,No
HDFC2026163740,2024-01-04,16:12:00,CUST385521,Inward,USA,USD,INR,126819.0,1507.95,84.1,2024-01-05,Completed,33,No,None,NEFT,No
HDFC2026510518,2024-01-04,20:35:00,CUST848972,Inward,USA,USD,INR,218654.0,2658.08,82.26,2024-01-06,Completed,73,No,None,Branch,No
HDFC2026798596,2024-01-04,19:42:00,CUST604214,Inward,Singapore,SGD,INR,370639.0,6019.8,61.57,2024-01-06,Completed,61,No,None,SWIFT,No
HDFC2026604366,2024-01-04,05:20:00,CUST841548,Inward,UAE,AED,INR,405339.0,18127.86,22.36,2024-01-05,Completed,40,No,None,Branch,No
HDFC2026549528,2024-01-04,15:31:00,CUST610959,Outward,Singapore,INR,SGD,481078.0,7726.92,62.26,2024-01-05,Completed,110,No,None,SWIFT,No
HDFC2026238840,2024-01-04,03:26:00,CUST438324,Inward,UAE,AED,INR,183590.0,8145.08,22.54,2024-01-06,Completed,81,No,None,NEFT,No
HDFC2026733941,2024-01-04,18:31:00,CUST987938,Outward,UK,INR,GBP,60091.0,567.49,105.89,2024-01-06,Completed,58,No,None,NEFT,No
HDFC2026740706,2024-01-04,08:16:00,CUST588213,Inward,USA,USD,INR,350464.0,4267.19,82.13,2024-01-06,Completed,78,No,None,SWIFT,No
HDFC2026439904,2024-01-04,18:12:00,CUST176300,Outward,UAE,INR,AED,108125.0,4719.55,22.91,2024-01-05,Completed,115,No,None,SWIFT,No
HDFC2026169785,2024-01-04,18:46:00,CUST169440,Outward,Singapore,INR,SGD,137640.0,2217.5,62.07,2024-01-06,Completed,43,No,None,SWIFT,No
HDFC2026597626,2024-01-04,21:50:00,CUST987723,Inward,UK,GBP,INR,215627.0,2066.98,104.32,2024-01-06,Completed,113,No,None,NEFT,No
HDFC2026645362,2024-01-04,09:21:00,CUST107083,Outward,Singapore,INR,SGD,155847.0,2564.54,60.77,2024-01-05,Completed,106,No,None,Online,No
HDFC2026210523,2024-01-04,02:30:00,CUST189878,Outward,Canada,INR,CAD,390655.0,6502.25,60.08,2024-01-06,Completed,98,No,None,SWIFT,No
HDFC2026270595,2024-01-04,01:55:00,CUST475099,Inward,Singapore,SGD,INR,50000.0,812.22,61.56,2024-01-05,Completed,64,No,None,NEFT,No
HDFC2026396309,2024-01-04,19:13:00,CUST896550,Inward,USA,USD,INR,205825.0,2440.13,84.35,2024-01-05,Completed,85,No,None,SWIFT,No
HDFC2026943570,2024-01-04,01:18:00,CUST527031,Inward,UK,GBP,INR,101157.0,959.2,105.46,2024-01-05,Completed,69,No,None,NEFT,No
HDFC2026108845,2024-01-04,06:31:00,CUST370429,Outward,UK,INR,GBP,87397.0,820.86,106.47,2024-01-05,Completed,111,No,None,SWIFT,No
HDFC2026152516,2024-01-04,00:56:00,CUST170521,Inward,Australia,AUD,INR,119970.0,2165.13,55.41,2024-01-06,On-hold,24,No,None,SWIFT,No
HDFC2026266553,2024-01-04,08:28:00,CUST515980,Inward,Singapore,SGD,INR,90244.0,1462.63,61.7,2024-01-05,Pending,25,No,None,Online,No
HDFC2026980029,2024-01-04,22:40:00,CUST508672,Inward,USA,USD,INR,92640.0,1100.5,84.18,2024-01-05,Completed,47,No,None,SWIFT,No
HDFC2026868152,2024-01-04,17:12:00,CUST115601,Inward,USA,USD,INR,216987.0,2575.51,84.25,2024-01-06,Completed,61,No,None,NEFT,No
HDFC2026257880,2024-01-04,13:01:00,CUST344315,Inward,Australia,AUD,INR,314740.0,5691.5,55.3,2024-01-06,Completed,112,No,None,SWIFT,No
HDFC2026257692,2024-01-04,10:59:00,CUST841935,Inward,USA,USD,INR,54066.0,655.42,82.49,2024-01-06,Pending,40,No,None,SWIFT,No
HDFC2026535354,2024-01-05,02:25:00,CUST185683,Inward,USA,USD,INR,1550388.0,18558.63,83.54,2024-01-07,Completed,119,No,None,NEFT,No
HDFC2026460489,2024-01-05,09:41:00,CUST733883,Inward,UAE,AED,INR,133875.0,5907.99,22.66,2024-01-07,Completed,40,No,None,NEFT,No
HDFC2026338025,2024-01-05,00:25:00,CUST298184,Inward,UAE,AED,INR,444438.0,19510.01,22.78,2024-01-06,Completed,36,No,None,Branch,No
HDFC2026587505,2024-01-05,08:10:00,CUST647295,Outward,USA,INR,USD,96929.0,1138.33,85.15,2024-01-06,Completed,88,No,None,NEFT,No
HDFC2026385423,2024-01-05,19:49:00,CUST853744,Outward,Canada,INR,CAD,274578.0,4542.23,60.45,2024-01-07,Completed,111,No,None,SWIFT,No
HDFC2026306645,2024-01-05,07:53:00,CUST318543,Outward,USA,INR,USD,280772.0,3388.1,82.87,2024-01-06,Failed,1,No,None,Online,No
HDFC2026853924,2024-01-05,08:48:00,CUST323570,Inward,UK,GBP,INR,246407.0,2354.13,104.67,2024-01-07,Completed,68,No,None,NEFT,No
HDFC2026603675,2024-01-05,06:12:00,CUST481659,Inward,Singapore,SGD,INR,539356.0,8548.99,63.09,2024-01-07,Completed,107,No,None,SWIFT,No
HDFC2026482372,2024-01-05,20:07:00,CUST180783,Inward,USA,USD,INR,840328.0,10089.18,83.29,2024-01-06,Completed,52,No,None,SWIFT,No
HDFC2026756175,2024-01-05,19:33:00,CUST915217,Inward,Australia,AUD,INR,175874.0,3241.92,54.25,2024-01-06,Completed,81,No,None,NEFT,No
HDFC2026208644,2024-01-05,18:28:00,CUST235359,Inward,UAE,AED,INR,134165.0,5989.51,22.4,2024-01-07,Completed,85,No,None,SWIFT,No
HDFC2026355577,2024-01-05,06:29:00,CUST550726,Outward,UAE,INR,AED,206183.0,8933.41,23.08,2024-01-06,Completed,99,No,None,SWIFT,No
HDFC2026434136,2024-01-05,17:59:00,CUST787564,Outward,USA,INR,USD,140770.0,1713.99,82.13,2024-01-07,Completed,38,No,None,SWIFT,No
HDFC2026139286,2024-01-05,09:36:00,CUST732063,Inward,USA,USD,INR,352537.0,4142.13,85.11,2024-01-07,Completed,60,No,None,NEFT,No
HDFC2026648316,2024-01-05,00:37:00,CUST619545,Outward,Australia,INR,AUD,50000.0,925.24,54.04,2024-01-07,Completed,107,No,None,Branch,No
HDFC2026293643,2024-01-05,02:26:00,CUST312039,Inward,USA,USD,INR,186373.0,2241.41,83.15,2024-01-07,Completed,37,No,None,SWIFT,No
HDFC2026857135,2024-01-05,20:29:00,CUST902711,Outward,UAE,INR,AED,462015.0,20308.35,22.75,2024-01-07,Failed,23,No,None,NEFT,No
HDFC2026388093,2024-01-05,22:49:00,CUST957976,Outward,UAE,INR,AED,50000.0,2172.97,23.01,2024-01-07,Completed,61,No,None,SWIFT,No
HDFC2026661091,2024-01-05,22:59:00,CUST615827,Outward,UAE,INR,AED,134762.0,5941.89,22.68,2024-01-07,Completed,25,No,None,Branch,No
HDFC2026670612,2024-01-05,12:06:00,CUST103389,Inward,Singapore,SGD,INR,172167.0,2794.92,61.6,2024-01-06,Completed,55,No,None,NEFT,No
HDFC2026357579,2024-01-05,10:54:00,CUST280139,Outward,UAE,INR,AED,537764.0,23679.61,22.71,2024-01-06,Completed,26,No,None,NEFT,No
HDFC2026864607,2024-01-05,19:02:00,CUST667114,Outward,Australia,INR,AUD,591150.0,10577.03,55.89,2024-01-07,Completed,65,No,None,SWIFT,No
HDFC2026977327,2024-01-05,06:34:00,CUST792488,Inward,USA,USD,INR,249646.0,3038.16,82.17,2024-01-07,Completed,40,No,None,Branch,No
HDFC2026499707,2024-01-05,10:40:00,CUST810073,Inward,UAE,AED,INR,236445.0,10244.58,23.08,2024-01-06,Completed,79,No,None,SWIFT,No
HDFC2026812195,2024-01-05,19:22:00,CUST596846,Inward,USA,USD,INR,166349.0,1993.16,83.46,2024-01-06,Completed,55,No,None,NEFT,No
HDFC2026914231,2024-01-05,10:12:00,CUST814931,Outward,UK,INR,GBP,184725.0,1771.94,104.25,2024-01-07,Completed,81,No,None,SWIFT,No
HDFC2026109738,2024-01-05,22:21:00,CUST956800,Inward,UAE,AED,INR,374660.0,16268.35,23.03,2024-01-06,Completed,112,No,None,NEFT,No
HDFC2026709545,2024-01-05,03:06:00,CUST272689,Inward,Canada,CAD,INR,436078.0,7253.46,60.12,2024-01-06,Completed,48,No,None,SWIFT,No
HDFC2026156949,2024-01-05,21:02:00,CUST328484,Inward,USA,USD,INR,201693.0,2382.95,84.64,2024-01-06,Completed,38,No,None,NEFT,No
HDFC2026731791,2024-01-05,16:49:00,CUST602193,Inward,Canada,CAD,INR,293359.0,4860.96,60.35,2024-01-07,Completed,34,No,None,SWIFT,No
HDFC2026427208,2024-01-05,10:58:00,CUST190097,Outward,USA,INR,USD,414688.0,5020.44,82.6,2024-01-07,Completed,64,No,None,SWIFT,No
HDFC2026930892,2024-01-05,03:34:00,CUST871889,Outward,UAE,INR,AED,79858.0,3469.07,23.02,2024-01-07,Completed,34,No,None,NEFT,No
HDFC2026617392,2024-01-05,17:16:00,CUST635332,Outward,USA,INR,USD,659304.0,7926.23,83.18,2024-01-07,Completed,104,No,None,NEFT,No
HDFC2026662761,2024-01-05,03:27:00,CUST240440,Outward,UAE,INR,AED,435110.0,18992.14,22.91,2024-01-07,Completed,75,No,None,SWIFT,No
HDFC2026549009,2024-01-05,22:21:00,CUST471427,Inward,Singapore,SGD,INR,1447216.0,23207.44,62.36,2024-01-06,Completed,107,No,None,NEFT,No
HDFC2026805483,2024-01-05,02:00:00,CUST531225,Inward,USA,USD,INR,109724.0,1335.17,82.18,2024-01-07,Completed,81,No,None,SWIFT,No
HDFC2026923280,2024-01-05,08:49:00,CUST239778,Outward,USA,INR,USD,172744.0,2043.1,84.55,2024-01-07,Completed,25,No,None,NEFT,No
HDFC2026596908,2024-01-05,14:07:00,CUST554769,Inward,UAE,AED,INR,50967.0,2239.32,22.76,2024-01-07,Completed,27,No,None,SWIFT,No
HDFC2026518807,2024-01-05,09:07:00,CUST556633,Outward,UK,INR,GBP,278660.0,2630.85,105.92,2024-01-07,Completed,110,No,None,SWIFT,No
HDFC2026626086,2024-01-05,05:42:00,CUST671564,Outward,USA,INR,USD,140310.0,1704.24,82.33,2024-01-06,Completed,43,No,None,SWIFT,No
HDFC2026823012,2024-01-06,11:49:00,CUST853223,Inward,Australia,AUD,INR,160844.0,2885.09,55.75,2024-01-07,Completed,102,No,None,NEFT,No
HDFC2026452622,2024-01-06,06:12:00,CUST817088,Inward,Canada,CAD,INR,224899.0,3754.57,59.9,2024-01-08,Completed,46,No,None,Branch,No
HDFC2026298251,2024-01-06,16:15:00,CUST737932,Outward,UAE,INR,AED,959938.0,42325.31,22.68,2024-01-08,Pending,31,No,None,Branch,No
HDFC2026326299,2024-01-06,21:28:00,CUST268347,Inward,USA,USD,INR,793210.0,9411.6,84.28,2024-01-07,Completed,40,No,None,SWIFT,No
HDFC2026996716,2024-01-06,12:06:00,CUST413943,Inward,USA,USD,INR,1101354.0,13362.7,82.42,2024-01-08,Completed,88,No,None,Online,No
HDFC2026756361,2024-01-06,11:14:00,CUST865960,Outward,USA,INR,USD,233365.0,2831.41,82.42,2024-01-07,Completed,26,No,None,SWIFT,No
HDFC2026456228,2024-01-06,11:02:00,CUST510210,Inward,UAE,AED,INR,282981.0,12543.48,22.56,2024-01-08,Completed,111,No,None,SWIFT,No
HDFC2026761301,2024-01-06,04:38:00,CUST122117,Inward,Australia,AUD,INR,271131.0,5026.53,53.94,2024-01-07,Completed,93,No,None,SWIFT,No
HDFC2026112758,2024-01-06,03:19:00,CUST437692,Inward,UK,GBP,INR,50000.0,481.14,103.92,2024-01-07,Pending,16,No,None,SWIFT,No
HDFC2026480441,2024-01-06,02:22:00,CUST131475,Inward,Australia,AUD,INR,164638.0,3037.04,54.21,2024-01-08,Completed,80,No,None,SWIFT,No
HDFC2026451248,2024-01-06,01:43:00,CUST773800,Inward,Malaysia,MYR,INR,50000.0,2801.12,17.85,2024-01-07,Completed,108,No,None,SWIFT,No
HDFC2026384739,2024-01-06,11:48:00,CUST608442,Outward,Singapore,INR,SGD,238539.0,3880.58,61.47,2024-01-07,Pending,32,No,None,NEFT,No
HDFC2026289845,2024-01-06,22:48:00,CUST832074,Inward,UAE,AED,INR,183470.0,8110.96,22.62,2024-01-08,Completed,24,No,None,SWIFT,No
HDFC2026441433,2024-01-06,20:16:00,CUST831394,Outward,USA,INR,USD,67739.0,821.58,82.45,2024-01-07,Completed,64,No,None,NEFT,No
HDFC2026121701,2024-01-06,12:49:00,CUST964751,Outward,Australia,INR,AUD,122575.0,2206.97,55.54,2024-01-08,Completed,41,No,None,Branch,No
HDFC2026861876,2024-01-06,11:05:00,CUST871568,Outward,Singapore,INR,SGD,409681.0,6580.16,62.26,2024-01-07,Completed,69,No,None,Online,No
HDFC2026655514,2024-01-06,03:00:00,CUST689312,Outward,UAE,INR,AED,316864.0,13928.09,22.75,2024-01-08,Completed,111,No,None,Branch,No
HDFC2026834680,2024-01-06,09:16:00,CUST314161,Inward,UAE,AED,INR,157315.0,7063.99,22.27,2024-01-08,Completed,107,No,None,Branch,No
HDFC2026833368,2024-01-06,07:38:00,CUST671577,Inward,Canada,CAD,INR,308441.0,5029.2,61.33,2024-01-08,Completed,29,No,None,NEFT,No
HDFC2026995521,2024-01-06,06:42:00,CUST234594,Outward,UK,INR,GBP,266957.0,2564.92,104.08,2024-01-08,Completed,106,No,None,NEFT,No
HDFC2026811293,2024-01-06,08:39:00,CUST778987,Inward,Singapore,SGD,INR,455154.0,7280.13,62.52,2024-01-08,Completed,99,No,None,SWIFT,No
HDFC2026682789,2024-01-06,16:12:00,CUST189771,Inward,Singapore,SGD,INR,297515.0,4816.5,61.77,2024-01-08,Completed,95,No,None,SWIFT,No
HDFC2026353254,2024-01-06,19:58:00,CUST850515,Outward,USA,INR,USD,94753.0,1112.52,85.17,2024-01-08,Completed,83,No,None,NEFT,No
HDFC2026888360,2024-01-06,08:13:00,CUST393873,Outward,USA,INR,USD,167447.0,2032.86,82.37,2024-01-08,Completed,101,No,None,SWIFT,No
